what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466655950625
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466655956515
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1466655956718
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1466655956859
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.saveAll,1466655957843
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466655966812
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466655966953
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1466655973796
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1466655985734
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1466655992531
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466655994515
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466655998125
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1466655998312
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1466655998453
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1466656001125
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1466656044109
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466656049671
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466656050375
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1466656073906
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466656077078
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466656078203
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1466656081265
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1466656094875
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1466656095765
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1466656102312
