what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466666468406
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466666469015
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1466666490812
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1466666492906
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1466666494453
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1466666506250
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.format,1466666514265
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1466666516203
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.format,1466666520796
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1466666526625
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1466666526859
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1466666526984
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.format,1466666533296
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.format,1466666549765
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466666555500
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466666555906
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1466666580937
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466666588531
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466666601640
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.rename,1466666601703
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1466666603359
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466666621828
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466666622406
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466666622781
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1466666622796
